configuration,sample,teacher_action_mse,baseline_teacher_action_mse,gripper_disagreements
"W4 blocks 16,17,18,19,20,21,22,23",sample-1010.npz,0.05032649636268616,0.07302124053239822,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1011.npz,0.025526689365506172,0.06691315025091171,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1012.npz,0.06191342696547508,0.11053197085857391,1
"W4 blocks 16,17,18,19,20,21,22,23",sample-1013.npz,0.02915877476334572,0.06003414839506149,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1014.npz,0.048555973917245865,0.1347767859697342,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1015.npz,0.02804158814251423,0.03209623321890831,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1016.npz,0.015148542821407318,0.0316205732524395,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1017.npz,0.033610083162784576,0.05450320988893509,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1018.npz,0.040732163935899734,0.08028547465801239,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1019.npz,0.11658964306116104,0.17896972596645355,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1020.npz,0.018888887017965317,0.03321811556816101,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1021.npz,0.008738510310649872,0.028770562261343002,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1022.npz,0.02044767513871193,0.03556874766945839,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1023.npz,0.029651831835508347,0.07021887600421906,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1024.npz,0.06496277451515198,0.14691388607025146,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1025.npz,0.040147073566913605,0.0642600879073143,1
"W4 blocks 16,17,18,19,20,21,22,23",sample-1026.npz,0.05850476771593094,0.11862081289291382,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1027.npz,0.09010307490825653,0.11765632778406143,4
"W4 blocks 16,17,18,19,20,21,22,23",sample-1028.npz,0.01366418693214655,0.026821613311767578,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1029.npz,0.018789933994412422,0.023260008543729782,0
"W4 blocks 16,17,18,19,20,21,22,23",sample-1030.npz,0.04492142051458359,0.1049315333366394,1
"W4 blocks 16,17,18,19,20,21,22,23",sample-1031.npz,0.011621730402112007,0.021103229373693466,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1000.npz,0.0481923408806324,0.04699644446372986,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1001.npz,0.12944599986076355,0.14707539975643158,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1002.npz,0.08055577427148819,0.08581538498401642,1
"W4 blocks 24,25,26,27,28,29,30,31",sample-1003.npz,0.0881277471780777,0.0988268330693245,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1004.npz,0.06244470924139023,0.06209820508956909,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1005.npz,0.029481446370482445,0.027614500373601913,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1006.npz,0.039206039160490036,0.04872210696339607,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1007.npz,0.0233196709305048,0.023142751306295395,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1008.npz,0.047295037657022476,0.06720038503408432,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1009.npz,0.007520562969148159,0.009663169272243977,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1010.npz,0.06865665316581726,0.07302124053239822,1
"W4 blocks 24,25,26,27,28,29,30,31",sample-1011.npz,0.05285097286105156,0.06691315025091171,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1012.npz,0.11767257750034332,0.11053197085857391,2
"W4 blocks 24,25,26,27,28,29,30,31",sample-1013.npz,0.06137695163488388,0.06003414839506149,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1014.npz,0.11858677864074707,0.1347767859697342,1
"W4 blocks 24,25,26,27,28,29,30,31",sample-1015.npz,0.027923008427023888,0.03209623321890831,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1016.npz,0.026402605697512627,0.0316205732524395,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1017.npz,0.0523257777094841,0.05450320988893509,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1018.npz,0.05967380851507187,0.08028547465801239,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1019.npz,0.18913981318473816,0.17896972596645355,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1020.npz,0.027171870693564415,0.03321811556816101,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1021.npz,0.02280891127884388,0.028770562261343002,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1022.npz,0.03266778960824013,0.03556874766945839,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1023.npz,0.058193616569042206,0.07021887600421906,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1024.npz,0.13976244628429413,0.14691388607025146,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1025.npz,0.05494605749845505,0.0642600879073143,2
"W4 blocks 24,25,26,27,28,29,30,31",sample-1026.npz,0.09744931012392044,0.11862081289291382,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1027.npz,0.11384057998657227,0.11765632778406143,5
"W4 blocks 24,25,26,27,28,29,30,31",sample-1028.npz,0.025044208392500877,0.026821613311767578,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1029.npz,0.024332571774721146,0.023260008543729782,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1030.npz,0.07478726655244827,0.1049315333366394,0
"W4 blocks 24,25,26,27,28,29,30,31",sample-1031.npz,0.01931184157729149,0.021103229373693466,0
