case,module,rank,adapter_parameters,residual_frobenius_unexplained_fraction,input_diagonal_unexplained_fraction,response_unexplained_fraction,init,seed
Response SVD rank16,language_model.model.layers.9.mlp.gate_proj,16,241664,0.994514524936676,0.994514524936676,0.04344937577843666,randomized_svd_calibration_response_not_training,2085728913
Response SVD rank16,language_model.model.layers.9.mlp.up_proj,16,241664,0.9946072697639465,0.9946072697639465,0.04353121295571327,randomized_svd_calibration_response_not_training,2858620383
Response SVD rank16,language_model.model.layers.9.mlp.down_proj,16,241664,0.9943062663078308,0.9943062663078308,0.073183573782444,randomized_svd_calibration_response_not_training,497099024
Response SVD rank16,language_model.model.layers.10.self_attn.q_proj,16,131072,0.9893751740455627,0.9893751740455627,0.039388880133628845,randomized_svd_calibration_response_not_training,1121720186
Response SVD rank16,language_model.model.layers.10.self_attn.k_proj,16,131072,0.9883026480674744,0.9883026480674744,0.03876460716128349,randomized_svd_calibration_response_not_training,937201807
Response SVD rank16,language_model.model.layers.10.self_attn.v_proj,16,131072,0.9914597272872925,0.9914597272872925,0.04396689310669899,randomized_svd_calibration_response_not_training,494252961
Response SVD rank16,language_model.model.layers.10.self_attn.o_proj,16,131072,0.9898365139961243,0.9898365139961243,0.020757712423801422,randomized_svd_calibration_response_not_training,3962445394
Response SVD rank16,language_model.model.layers.10.mlp.gate_proj,16,241664,0.9944585561752319,0.9944585561752319,0.04501389339566231,randomized_svd_calibration_response_not_training,940728214
Response SVD rank16,language_model.model.layers.10.mlp.up_proj,16,241664,0.9946023225784302,0.9946023225784302,0.04479294642806053,randomized_svd_calibration_response_not_training,1207943692
Response SVD rank16,language_model.model.layers.10.mlp.down_proj,16,241664,0.9942712783813477,0.9942712783813477,0.07997523993253708,randomized_svd_calibration_response_not_training,265212419
Response SVD rank16,language_model.model.layers.11.self_attn.q_proj,16,131072,0.9877539277076721,0.9877539277076721,0.044661905616521835,randomized_svd_calibration_response_not_training,458641026
Response SVD rank16,language_model.model.layers.11.self_attn.k_proj,16,131072,0.9880760908126831,0.9880760908126831,0.04463385045528412,randomized_svd_calibration_response_not_training,643301330
Response SVD rank16,language_model.model.layers.11.self_attn.v_proj,16,131072,0.9914839267730713,0.9914839267730713,0.04816395044326782,randomized_svd_calibration_response_not_training,347278368
Response SVD rank16,language_model.model.layers.11.self_attn.o_proj,16,131072,0.9906026124954224,0.9906026124954224,0.02626112289726734,randomized_svd_calibration_response_not_training,4213575788
Response SVD rank16,language_model.model.layers.11.mlp.gate_proj,16,241664,0.9944765567779541,0.9944765567779541,0.04711708799004555,randomized_svd_calibration_response_not_training,2608876363
Response SVD rank16,language_model.model.layers.11.mlp.up_proj,16,241664,0.9946238994598389,0.9946238994598389,0.04702659323811531,randomized_svd_calibration_response_not_training,1199410820
Response SVD rank16,language_model.model.layers.11.mlp.down_proj,16,241664,0.9942219853401184,0.9942219853401184,0.0824648067355156,randomized_svd_calibration_response_not_training,991628021
Response SVD rank16,language_model.model.layers.12.self_attn.q_proj,16,131072,0.991157591342926,0.991157591342926,0.0373510904610157,randomized_svd_calibration_response_not_training,4146962506
Response SVD rank16,language_model.model.layers.12.self_attn.k_proj,16,131072,0.9910869598388672,0.9910869598388672,0.035356346517801285,randomized_svd_calibration_response_not_training,3939585750
Response SVD rank16,language_model.model.layers.12.self_attn.v_proj,16,131072,0.9914491176605225,0.9914491176605225,0.04471907392144203,randomized_svd_calibration_response_not_training,146617459
Response SVD rank16,language_model.model.layers.12.self_attn.o_proj,16,131072,0.9907282590866089,0.9907282590866089,0.020622966811060905,randomized_svd_calibration_response_not_training,2262745759
Response SVD rank16,language_model.model.layers.12.mlp.gate_proj,16,241664,0.994484543800354,0.994484543800354,0.05005223676562309,randomized_svd_calibration_response_not_training,1908392608
Response SVD rank16,language_model.model.layers.12.mlp.up_proj,16,241664,0.9946255683898926,0.9946255683898926,0.0506276935338974,randomized_svd_calibration_response_not_training,1997787133
Response SVD rank16,language_model.model.layers.12.mlp.down_proj,16,241664,0.9944709539413452,0.9944709539413452,0.09361659735441208,randomized_svd_calibration_response_not_training,1820965824
Response SVD rank16,language_model.model.layers.13.self_attn.q_proj,16,131072,0.9913101196289062,0.9913101196289062,0.04128875583410263,randomized_svd_calibration_response_not_training,3167913662
Response SVD rank16,language_model.model.layers.13.self_attn.k_proj,16,131072,0.9910457134246826,0.9910457134246826,0.038889769464731216,randomized_svd_calibration_response_not_training,4099174251
Response SVD rank16,language_model.model.layers.13.self_attn.v_proj,16,131072,0.9915533065795898,0.9915533065795898,0.04721887409687042,randomized_svd_calibration_response_not_training,2255123938
Response SVD rank16,language_model.model.layers.13.self_attn.o_proj,16,131072,0.9911033511161804,0.9911033511161804,0.024833617731928825,randomized_svd_calibration_response_not_training,10823171
Response SVD rank16,language_model.model.layers.13.mlp.gate_proj,16,241664,0.9945120811462402,0.9945120811462402,0.05047590658068657,randomized_svd_calibration_response_not_training,2054865174
Response SVD rank16,language_model.model.layers.13.mlp.up_proj,16,241664,0.9945911169052124,0.9945911169052124,0.050931110978126526,randomized_svd_calibration_response_not_training,3150206221
Response SVD rank16,language_model.model.layers.13.mlp.down_proj,16,241664,0.9945282936096191,0.9945282936096191,0.09683309495449066,randomized_svd_calibration_response_not_training,4294824990
Response SVD rank16,language_model.model.layers.14.self_attn.q_proj,16,131072,0.9912642240524292,0.9912642240524292,0.04237830266356468,randomized_svd_calibration_response_not_training,3583579581
Response SVD rank16,language_model.model.layers.14.self_attn.k_proj,16,131072,0.9911097884178162,0.9911097884178162,0.0416652075946331,randomized_svd_calibration_response_not_training,3343755845
Response SVD rank16,language_model.model.layers.14.self_attn.v_proj,16,131072,0.9915167093276978,0.9915167093276978,0.04751928150653839,randomized_svd_calibration_response_not_training,2200128052
Response SVD rank16,language_model.model.layers.14.self_attn.o_proj,16,131072,0.9905468225479126,0.9905468225479126,0.02706470899283886,randomized_svd_calibration_response_not_training,2082182665
Response SVD rank16,language_model.model.layers.14.mlp.gate_proj,16,241664,0.9945082068443298,0.9945082068443298,0.049080148339271545,randomized_svd_calibration_response_not_training,3976929414
Response SVD rank16,language_model.model.layers.14.mlp.up_proj,16,241664,0.9946048855781555,0.9946048855781555,0.0483686663210392,randomized_svd_calibration_response_not_training,3555579885
Response SVD rank16,language_model.model.layers.14.mlp.down_proj,16,241664,0.9945164918899536,0.9945164918899536,0.08793672174215317,randomized_svd_calibration_response_not_training,2461029770
Response SVD rank16,language_model.model.layers.15.self_attn.q_proj,16,131072,0.9911125302314758,0.9911125302314758,0.04471977800130844,randomized_svd_calibration_response_not_training,2611537525
Response SVD rank16,language_model.model.layers.15.self_attn.k_proj,16,131072,0.990980327129364,0.990980327129364,0.04297364875674248,randomized_svd_calibration_response_not_training,3953350456
Response SVD rank16,language_model.model.layers.15.self_attn.v_proj,16,131072,0.9914190769195557,0.9914190769195557,0.04936758428812027,randomized_svd_calibration_response_not_training,2029862078
Response SVD rank16,language_model.model.layers.15.self_attn.o_proj,16,131072,0.9900094866752625,0.9900094866752625,0.02946401573717594,randomized_svd_calibration_response_not_training,2606596704
Response SVD rank16,language_model.model.layers.15.mlp.gate_proj,16,241664,0.9945217967033386,0.9945217967033386,0.049392927438020706,randomized_svd_calibration_response_not_training,3918625355
Response SVD rank16,language_model.model.layers.15.mlp.up_proj,16,241664,0.9946147203445435,0.9946147203445435,0.04959490895271301,randomized_svd_calibration_response_not_training,821091832
Response SVD rank16,language_model.model.layers.15.mlp.down_proj,16,241664,0.994543194770813,0.994543194770813,0.09117043018341064,randomized_svd_calibration_response_not_training,2006100975
