case,sample,action_mse,gripper_disagreement
Response SVD rank8,sample-1003.npz,0.08609604835510254,0.0
Response SVD rank8,sample-1004.npz,0.05298158898949623,0.0
Response SVD rank8,sample-1005.npz,0.03443335369229317,0.0
Response SVD rank8,sample-1006.npz,0.04416947811841965,0.0
Response SVD rank8,sample-1007.npz,0.019879039376974106,0.0
Response SVD rank8,sample-1008.npz,0.04008419066667557,0.0
Response SVD rank8,sample-1009.npz,0.008741384372115135,0.0
Response SVD rank8,sample-1010.npz,0.08145845681428909,0.125
Response SVD rank8,sample-1011.npz,0.06746424734592438,0.0
Response SVD rank8,sample-1012.npz,0.09115280956029892,0.125
Response SVD rank8,sample-1013.npz,0.0516655333340168,0.0
Response SVD rank8,sample-1014.npz,0.13332588970661163,0.125
Response SVD rank8,sample-1015.npz,0.03347894921898842,0.0
Response SVD rank8,sample-1016.npz,0.029244570061564445,0.0
Response SVD rank8,sample-1017.npz,0.06204377859830856,0.0
Response SVD rank8,sample-1018.npz,0.0666285827755928,0.0
Response SVD rank8,sample-1019.npz,0.16074742376804352,0.0
Response SVD rank8,sample-1020.npz,0.038671690970659256,0.125
Response SVD rank8,sample-1021.npz,0.030747320502996445,0.0
Response SVD rank8,sample-1022.npz,0.027332795783877373,0.0
Response SVD rank8,sample-1023.npz,0.04948601871728897,0.0
Response SVD rank8,sample-1024.npz,0.130167618393898,0.0
Response SVD rank8,sample-1025.npz,0.055406682193279266,0.125
Response SVD rank8,sample-1026.npz,0.1077425479888916,0.0
Response SVD rank8,sample-1027.npz,0.10948817431926727,0.625
Response SVD rank8,sample-1028.npz,0.028095582500100136,0.0
Response SVD rank8,sample-1029.npz,0.022929107770323753,0.0
Response SVD rank8,sample-1030.npz,0.08139275759458542,0.0
Response SVD rank8,sample-1031.npz,0.018864458426833153,0.0
Response SVD rank16,sample-1000.npz,0.057768814265728,0.0
Response SVD rank16,sample-1001.npz,0.1455804854631424,0.0
Response SVD rank16,sample-1002.npz,0.07020808756351471,0.125
Response SVD rank16,sample-1003.npz,0.08267409354448318,0.0
Response SVD rank16,sample-1004.npz,0.0596645213663578,0.0
Response SVD rank16,sample-1005.npz,0.03325115889310837,0.0
Response SVD rank16,sample-1006.npz,0.04433532431721687,0.0
Response SVD rank16,sample-1007.npz,0.02019050158560276,0.0
Response SVD rank16,sample-1008.npz,0.03985954448580742,0.0
Response SVD rank16,sample-1009.npz,0.009823329746723175,0.0
Response SVD rank16,sample-1010.npz,0.0908205658197403,0.25
Response SVD rank16,sample-1011.npz,0.07000287622213364,0.0
Response SVD rank16,sample-1012.npz,0.0993415117263794,0.25
Response SVD rank16,sample-1013.npz,0.0530889667570591,0.0
Response SVD rank16,sample-1014.npz,0.12025940418243408,0.125
Response SVD rank16,sample-1015.npz,0.034272585064172745,0.0
Response SVD rank16,sample-1016.npz,0.026043353602290154,0.0
Response SVD rank16,sample-1017.npz,0.05968534201383591,0.0
Response SVD rank16,sample-1018.npz,0.06536271423101425,0.0
Response SVD rank16,sample-1019.npz,0.15424580872058868,0.0
Response SVD rank16,sample-1020.npz,0.044727928936481476,0.125
Response SVD rank16,sample-1021.npz,0.03094703145325184,0.0
Response SVD rank16,sample-1022.npz,0.02919427491724491,0.0
Response SVD rank16,sample-1023.npz,0.04980480298399925,0.0
Response SVD rank16,sample-1024.npz,0.125431090593338,0.0
Response SVD rank16,sample-1025.npz,0.06114685907959938,0.125
Response SVD rank16,sample-1026.npz,0.10474736243486404,0.0
Response SVD rank16,sample-1027.npz,0.11808397620916367,0.625
Response SVD rank16,sample-1028.npz,0.02776489034295082,0.0
Response SVD rank16,sample-1029.npz,0.022105779498815536,0.0
Response SVD rank16,sample-1030.npz,0.07812026888132095,0.0
Response SVD rank16,sample-1031.npz,0.019157588481903076,0.0
Action RMS rank16,sample-1000.npz,0.04336291551589966,0.0
Action RMS rank16,sample-1001.npz,0.130145862698555,0.0
Action RMS rank16,sample-1002.npz,0.09262313693761826,0.25
Action RMS rank16,sample-1003.npz,0.09062756597995758,0.0
Action RMS rank16,sample-1004.npz,0.06749508529901505,0.0
Action RMS rank16,sample-1005.npz,0.02896459773182869,0.0
Action RMS rank16,sample-1006.npz,0.03675917163491249,0.0
Action RMS rank16,sample-1007.npz,0.023910190910100937,0.0
Action RMS rank16,sample-1008.npz,0.05188170075416565,0.0
Action RMS rank16,sample-1009.npz,0.009101368486881256,0.0
Action RMS rank16,sample-1010.npz,0.08084945380687714,0.125
Action RMS rank16,sample-1011.npz,0.06981021910905838,0.0
Action RMS rank16,sample-1012.npz,0.09643517434597015,0.125
Action RMS rank16,sample-1013.npz,0.0469370111823082,0.0
Action RMS rank16,sample-1014.npz,0.13720454275608063,0.125
Action RMS rank16,sample-1015.npz,0.025902854278683662,0.0
Action RMS rank16,sample-1016.npz,0.029673123732209206,0.0
Action RMS rank16,sample-1017.npz,0.05313757434487343,0.0
Action RMS rank16,sample-1018.npz,0.06745919585227966,0.0
Action RMS rank16,sample-1019.npz,0.17485734820365906,0.0
Action RMS rank16,sample-1020.npz,0.0320078544318676,0.0
Action RMS rank16,sample-1021.npz,0.03126641362905502,0.0
Action RMS rank16,sample-1022.npz,0.038316190242767334,0.0
Action RMS rank16,sample-1023.npz,0.05984249711036682,0.0
Action RMS rank16,sample-1024.npz,0.11852041631937027,0.0
Action RMS rank16,sample-1025.npz,0.06622416526079178,0.25
Action RMS rank16,sample-1026.npz,0.1036820039153099,0.0
Action RMS rank16,sample-1027.npz,0.10267555713653564,0.5
Action RMS rank16,sample-1028.npz,0.029931599274277687,0.0
Action RMS rank16,sample-1029.npz,0.02044106461107731,0.0
Action RMS rank16,sample-1030.npz,0.10104532539844513,0.25
Action RMS rank16,sample-1031.npz,0.019951101392507553,0.0
